"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jamison Crowder","WAS","WR160","0.1","1.2","0.0","0.0","149.7","0.0","0.1","14.9"
"James Mitchell","DET","TE76","0.0","0.3","0.0","8.8","108.4","0.7","0.0","14.8"
"Tre' McKitty","BUF","TE77","0.0","0.9","0.0","10.7","108.3","0.7","0.0","14.8"
"Geoff Swaim","ARI","TE78","0.0","0.0","0.0","13.2","101.2","0.8","0.0","14.6"
"Lawrence Cager","NYG","WR161","0.2","1.2","0.0","11.6","102.4","0.7","0.0","14.6"
"Parker Washington","JAC","WR162","0.3","1.5","0.0","10.5","118.1","0.4","0.1","14.4"
"Payne Durham","TB","TE79","0.0","2.7","0.0","10.7","108.7","0.6","0.3","14.3"
"James Robinson","NO","RB118","42.2","114.5","0.0","0.0","31.2","0.0","0.2","14.2"
"Kene Nwangwu","MIN","RB119","21.9","81.3","0.3","5.1","32.6","0.2","0.1","14.1"
"Ronnie Bell","SF","WR163","0.1","3.2","0.0","11.2","103.4","0.6","0.0","14.1"
"Tyler Kroft","MIA","TE80","0.0","0.5","0.0","9.3","90.2","0.8","0.0","14.0"
"Ross Dwelley","SF","TE81","0.0","0.8","0.0","5.9","95.9","0.7","0.0","13.9"
"DeWayne McBride","MIN","RB120","35.1","91.6","0.3","2.0","28.9","0.1","0.1","13.9"
"Malik Davis","DAL","RB121","32.4","105.7","0.0","0.0","36.7","0.0","0.2","13.8"
"Tanner Hudson","CIN","TE82","0.0","0.7","0.0","11.8","109.1","0.5","0.0","13.8"
"A.T. Perry","NO","WR164","0.5","2.3","0.0","5.0","119.8","0.3","0.1","13.8"
"Davis Allen","LAR","TE83","0.0","2.1","0.0","19.0","104.9","0.6","0.3","13.8"
"Nelson Agholor","BAL","WR165","0.2","0.8","0.0","5.4","122.5","0.3","0.2","13.8"
"Will Mallory","IND","TE84","0.0","1.9","0.0","8.7","96.0","0.7","0.0","13.8"
"Eric Saubert","HOU","TE85","0.0","0.2","0.0","12.6","102.4","0.6","0.0","13.8"
"Julio Jones","PHI","WR166","0.3","1.6","0.0","0.0","116.9","0.2","0.0","13.1"
"Jeremy Ruckert","NYJ","TE86","0.0","0.3","0.0","7.3","95.2","0.6","0.0","13.0"
"Malik Heath","GB","WR167","0.1","2.6","0.0","10.5","97.0","0.5","0.0","12.9"
"Elijah Higgins","ARI","TE87","0.0","1.3","0.0","7.6","96.6","0.5","0.0","12.9"
"Erik Ezukanma","MIA","WR168","0.2","1.3","0.0","8.9","99.0","0.5","0.1","12.7"
"Jack Stoll","PHI","TE88","0.0","0.3","0.0","9.4","99.9","0.4","0.0","12.7"
"Scott Miller","ATL","WR169","0.3","3.3","0.0","7.8","101.6","0.3","0.0","12.6"
"Ty Johnson","BUF","RB122","9.0","47.4","0.2","8.3","52.9","0.3","0.1","12.6"
"Marcedes Lewis","CHI","TE89","0.0","0.0","0.0","6.6","68.9","1.0","0.1","12.5"
"Ray-Ray McCloud III","SF","WR170","3.3","29.2","0.2","5.8","66.6","0.3","0.1","12.5"
"Stephen Sullivan","CAR","TE90","0.0","0.0","0.0","8.7","85.9","0.6","0.0","12.2"
"Drew Sample","CIN","TE91","0.0","0.4","0.0","9.8","87.7","0.6","0.1","12.1"
"Alec Ingold","MIA","RB123","5.7","16.1","0.1","12.0","70.9","0.4","0.0","11.9"
"Cole Turner","WAS","TE92","0.0","0.3","0.0","4.8","98.4","0.4","0.1","11.9"
"Julian Hill","MIA","TE93","0.0","0.0","0.0","0.0","102.8","0.3","0.1","11.9"
"Keith Kirkwood","NO","WR171","0.2","1.1","0.0","9.3","93.4","0.4","0.1","11.7"
"Phillip Dorsett II","DEN","WR172","0.1","0.7","0.0","8.7","84.0","0.5","0.0","11.4"
"Quintin Morris","BUF","TE94","0.0","0.4","0.0","7.3","85.0","0.6","0.4","11.3"
"Steven Sims Jr.","HOU","WR173","0.7","30.6","0.2","4.7","59.6","0.2","0.1","11.2"
"Jonathan Ward","TEN","RB124","10.1","42.8","0.2","5.6","41.9","0.3","0.0","11.2"
"Snoop Conner","JAC","RB125","3.1","76.3","0.5","2.2","2.9","0.1","0.1","11.2"
"Mitchell Wilcox","CIN","TE95","0.0","0.0","0.0","8.3","92.6","0.3","0.0","11.2"
"Jody Fortson","KC","TE96","0.0","0.6","0.0","6.1","96.4","0.4","0.5","11.1"
"Stone Smartt","LAC","TE97","0.0","0.7","0.0","9.1","74.5","0.6","0.0","11.1"
"Keaton Mitchell","BAL","RB126","17.9","67.1","0.4","2.9","19.2","0.1","0.1","11.0"
"Johnny Mundt","MIN","TE98","0.0","0.4","0.0","7.7","78.6","0.5","0.0","11.0"
"Zack Kuntz","NYJ","TE99","0.0","0.0","0.0","0.0","91.0","0.3","0.1","10.7"
"KaVontae Turpin","DAL","WR174","1.8","10.3","0.1","6.5","69.5","0.4","0.0","10.7"
"Tyler Scott","CHI","WR175","0.8","2.7","0.0","0.3","103.5","0.0","0.1","10.6"
"Dareke Young","SEA","WR176","0.2","1.0","0.0","7.7","83.2","0.4","0.1","10.5"
"Gunner Olszewski","NYG","WR177","3.3","26.4","0.1","4.8","60.2","0.2","0.1","10.5"
"Chris Manhertz","DEN","TE100","0.0","0.3","0.0","6.7","74.9","0.5","0.0","10.5"
"Ben Sims","GB","TE101","0.0","0.0","0.0","11.0","65.1","0.7","0.0","10.4"
"Luke Farrell","JAC","TE102","0.0","0.3","0.0","6.5","78.5","0.4","0.0","10.4"
"C.J. Ham","MIN","RB127","4.4","13.4","0.3","9.5","59.2","0.2","0.0","10.4"
"Giovanni Ricci","CAR","TE103","4.7","10.2","0.1","5.6","74.1","0.2","0.0","10.2"
"Deneric Prince","KC","RB128","23.7","73.9","0.0","0.0","27.4","0.0","0.1","9.9"
"Hunter Luepke","DAL","RB129","10.5","35.2","0.4","7.4","32.5","0.1","0.0","9.8"
"Jesper Horsted","LV","TE104","0.0","0.4","0.0","5.9","67.1","0.5","0.0","9.7"
"Nate Adkins","DEN","TE105","0.0","0.0","0.0","0.0","79.8","0.3","0.1","9.6"
"Armani Rogers","WAS","TE106","0.0","0.0","0.0","7.3","73.9","0.4","0.1","9.5"
"Eric Tomlinson","IND","TE107","0.0","0.6","0.0","7.4","65.1","0.5","0.0","9.5"
"Justin Shorter","BUF","WR178","0.4","2.4","0.0","0.0","93.7","0.0","0.1","9.4"
"Royce Freeman","LAR","RB130","0.0","57.7","0.3","4.2","14.4","0.1","0.1","9.4"
"John FitzPatrick","ATL","TE108","0.0","2.1","0.0","6.6","53.3","0.6","0.0","9.1"
"Jalen Guyton","LAC","WR179","0.7","2.8","0.0","0.0","86.4","0.0","0.0","8.9"
"Maurice Alexander","DET","WR180","0.0","0.0","0.0","4.9","65.2","0.4","0.0","8.9"
"Elijah Dotson","LAC","RB131","11.3","45.5","0.4","4.5","17.6","0.1","0.0","8.9"
"Andrew Beck","HOU","TE109","0.0","6.5","0.0","7.8","61.7","0.3","0.0","8.9"
"Curtis Hodges","WAS","TE110","0.0","0.6","0.0","6.3","55.5","0.5","0.0","8.6"
"Reggie Gilliam","BUF","RB132","2.2","7.2","0.1","8.5","48.8","0.4","0.0","8.6"
"Brayden Willis","SF","TE111","0.0","0.1","0.0","5.4","57.9","0.5","0.0","8.5"
"Jalen Reagor","NE","WR181","1.3","12.1","0.1","3.8","57.5","0.2","0.1","8.4"
"MyCole Pruitt","ATL","TE112","0.0","0.0","0.0","3.2","55.1","0.5","0.0","8.4"
"Charlie Woerner","SF","TE113","0.0","0.8","0.0","5.4","63.1","0.4","0.1","8.4"
"Shane Zylstra","DET","TE114","0.0","0.0","0.0","3.9","66.1","0.3","0.1","8.4"
"Andrew Ogletree","IND","TE115","0.0","0.1","0.0","5.2","57.5","0.4","0.0","8.4"
"Jason Cabinda","DET","LB1","9.1","22.4","0.2","4.4","33.3","0.3","0.0","8.2"
"Grant Calcaterra","PHI","TE116","0.0","0.3","0.0","3.2","65.3","0.3","0.1","8.2"
"Antoine Green","DET","WR182","0.1","1.6","0.0","6.0","60.7","0.3","0.0","8.2"
"Cody Thompson","SEA","WR183","0.0","1.0","0.0","6.3","60.2","0.3","0.0","8.2"
"Denzel Mims","PIT","WR184","0.0","0.1","0.0","2.8","72.9","0.1","0.0","8.0"
"Dax Milne","WAS","WR185","2.7","11.4","0.1","5.1","56.8","0.2","0.3","8.0"
"Tom Kennedy","DET","WR186","0.0","0.0","0.0","4.2","56.9","0.4","0.0","7.9"
"Demetric Felton Jr.","CIN","RB133","5.8","29.1","0.1","5.8","32.4","0.1","0.0","7.8"
"J.J. Taylor","HOU","RB134","2.2","38.4","0.3","4.1","17.2","0.1","0.0","7.8"
"Ronnie Rivers","LAR","RB135","11.4","38.6","0.1","4.4","25.9","0.1","0.1","7.8"
"Matthew Slater","NE","WR187","0.0","1.5","0.0","2.8","59.7","0.2","0.0","7.5"
"Patrick Taylor Jr.","GB","RB136","3.1","42.4","0.3","2.1","7.6","0.1","0.0","7.2"
"Matt Sokol","NE","TE117","0.0","0.9","0.0","4.5","46.9","0.4","0.0","7.1"
"Cam Sims","CAR","WR188","0.1","0.3","0.0","6.8","59.2","0.2","0.0","7.0"
"Ihmir Smith-Marsette","CAR","WR189","0.2","1.3","0.0","4.3","58.0","0.2","0.1","7.0"
"Patrick Ricard","BAL","RB137","3.7","13.2","0.1","7.3","34.1","0.3","0.1","6.9"
"Easop Winston Jr.","SEA","WR190","0.0","3.9","0.0","3.3","48.8","0.3","0.0","6.8"
"Zach Gentry","LV","TE118","0.0","0.3","0.0","5.5","57.4","0.1","0.0","6.6"
"Josh Ali","ATL","WR191","0.1","2.6","0.0","4.9","50.1","0.2","0.0","6.6"
"Nick Vannett","LAC","TE119","0.0","0.6","0.0","2.3","42.0","0.4","0.0","6.5"
"Tim Jones","JAC","WR192","0.1","1.0","0.0","3.9","52.2","0.2","0.1","6.4"
"Andrei Iosivas","CIN","WR193","0.5","1.8","0.0","0.6","62.0","0.0","0.1","6.4"
"Tyler Davis","GB","TE120","0.0","0.1","0.0","4.1","40.0","0.4","0.0","6.1"
"Jalen Brooks","DAL","WR194","0.2","1.5","0.0","0.0","58.4","0.0","0.0","6.0"
"Montrell Washington","KC","WR195","0.2","9.6","0.0","2.5","43.8","0.1","0.0","5.9"
"Pharaoh Brown","NE","TE121","0.0","0.6","0.0","6.2","52.2","0.1","0.0","5.9"
"James Proche II","CLE","WR196","0.0","2.4","0.0","0.7","47.5","0.1","0.0","5.8"
"Miles Boykin","PIT","WR197","0.0","0.2","0.0","3.2","46.4","0.1","0.0","5.5"
"Danny Gray","SF","WR198","0.4","1.7","0.0","1.5","50.4","0.1","0.1","5.5"
"Kenny Yeboah","NYJ","TE122","0.0","0.0","0.0","0.0","35.0","0.3","0.0","5.3"
"Shi Smith","TEN","WR199","0.1","0.2","0.0","2.4","46.4","0.1","0.1","5.3"
"Chris Brooks","MIA","RB138","12.0","33.8","0.1","1.6","11.5","0.0","0.1","5.2"
"Bo Melton","GB","WR200","0.1","1.7","0.0","3.7","39.7","0.1","0.0","5.0"
"Keelan Cole Sr.","LV","WR201","0.0","0.0","0.0","3.3","38.8","0.2","0.0","4.9"
"Henry Pearson","GB","RB139","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Cody White","SEA","WR202","0.0","0.0","0.0","3.3","38.4","0.2","0.0","4.9"
"Michael Woods II","CLE","WR203","0.0","0.0","0.0","3.1","38.4","0.2","0.0","4.9"
"Alex Bachman","HOU","WR204","0.0","0.0","0.0","3.3","38.2","0.2","0.0","4.8"
"Jake Bobo","SEA","WR205","0.2","1.2","0.0","0.0","46.6","0.0","0.0","4.8"
"Freddie Swain","MIA","WR206","0.0","1.0","0.0","2.5","33.6","0.2","0.0","4.7"
"Andy Isabella","BUF","WR207","0.1","6.8","0.1","1.3","32.7","0.1","0.0","4.7"
"Adam Prentice","NO","RB140","2.4","13.6","0.1","4.3","17.8","0.1","0.0","4.5"
"N'Keal Harry","MIN","WR208","0.4","2.9","0.0","0.0","43.5","0.0","0.1","4.4"
"Frank Darby","ATL","WR209","0.0","0.6","0.0","1.8","34.7","0.2","0.0","4.4"
"David Moore","TB","WR210","0.5","3.9","0.0","0.0","41.9","0.0","0.1","4.4"
"Anthony Schwartz","MIA","WR211","1.2","11.8","0.1","0.0","27.5","0.0","0.1","4.3"
"Jaret Patterson","WAS","RB141","0.0","24.7","0.2","0.8","5.2","0.0","0.0","4.2"
"Michael Burton","DEN","RB142","4.7","14.7","0.1","3.6","14.0","0.1","0.0","4.2"
"Gerrit Prince","KC","TE123","0.0","0.0","0.0","0.0","24.2","0.3","0.0","4.2"
"Nick Muse","MIN","TE124","0.0","0.0","0.0","0.0","24.2","0.3","0.0","4.2"
"Blake Whiteheart","ARI","TE125","0.0","0.0","0.0","0.0","24.2","0.3","0.0","4.2"
"Tanner Taula","TB","TE126","0.0","0.0","0.0","0.0","24.2","0.3","0.0","4.2"
"Feleipe Franks","ATL","QB1","0.0","0.0","0.0","3.1","28.9","0.2","0.0","4.2"
"Tylan Wallace","BAL","WR212","0.3","1.0","0.0","1.7","37.8","0.1","0.1","4.2"
"Jalen Camp","CAR","WR213","0.0","6.7","0.0","0.9","26.3","0.1","0.0","4.2"
"Noah Togiai","PHI","TE127","0.0","1.0","0.0","2.0","21.1","0.3","0.0","4.1"
"Seth Williams","JAC","WR214","0.0","1.4","0.0","2.2","27.8","0.2","0.0","4.1"
"Parker Hesse","ATL","TE128","0.0","0.6","0.0","2.9","27.8","0.2","0.0","4.0"
"Greg Ward","PHI","WR215","0.0","0.2","0.0","2.5","30.2","0.2","0.0","3.9"
"Stanley Morgan Jr.","CIN","WR216","0.0","1.9","0.0","1.6","31.9","0.1","0.0","3.9"
"Jack Colletto","PIT","RB143","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Jake Tonges","SF","TE129","0.0","0.0","0.0","2.7","26.3","0.2","0.0","3.8"
"Chris Conley","SF","WR217","0.0","0.1","0.0","0.0","37.2","0.0","0.0","3.7"
"Godwin Igwebuike","PIT","RB144","0.0","3.9","0.1","6.6","23.7","0.1","0.0","3.7"
"Tyree Jackson","NYG","TE130","0.0","0.6","0.0","1.2","20.1","0.3","0.0","3.7"
"Elijah Cooks","JAC","WR218","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Kearis Jackson","TEN","WR219","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Tanner Conner","MIA","TE131","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Austin Watkins Jr.","CLE","WR220","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Irvin Charles","NYJ","WR221","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Xavier Gipson","NYJ","WR222","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Mitchell Tinsley","WAS","WR223","0.1","0.9","0.0","0.0","34.9","0.0","0.0","3.6"
"Jakob Johnson","LV","RB145","3.8","10.0","0.1","4.6","15.1","0.1","0.0","3.6"
"D.J. Montgomery","IND","WR224","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"Malik Taylor","NYJ","WR225","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"David Sills","DEN","WR226","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"Kristian Wilkerson","LV","WR227","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"Andre Baccellia","ARI","WR228","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"Mike Strachan","CAR","WR229","0.2","1.5","0.0","0.0","33.7","0.0","0.0","3.5"
"Lance McCutcheon","NYJ","WR230","0.0","0.5","0.0","2.2","28.5","0.1","0.0","3.5"
"Devin Asiasi","TEN","TE132","0.0","0.3","0.0","0.7","21.3","0.2","0.0","3.5"
"Trent Taylor","CHI","WR231","0.3","4.1","0.0","1.3","25.4","0.1","0.0","3.4"
"Joseph Ngata","PHI","WR232","0.0","1.4","0.0","1.9","23.7","0.1","0.0","3.3"
"Alex Erickson","LAC","WR233","0.5","2.5","0.0","0.0","34.2","0.0","0.2","3.3"
"Kevin Rader","TEN","TE133","0.0","0.6","0.0","0.8","16.2","0.3","0.0","3.3"
"Quintez Cephus","DET","WR234","0.0","0.0","0.0","0.0","31.1","0.0","0.0","3.1"
"Colton Dowell","TEN","WR235","0.1","1.0","0.0","1.5","26.2","0.1","0.0","3.1"
"Nick Bellore","SEA","LB2","4.4","9.3","0.0","2.3","15.7","0.1","0.0","3.1"
"Sean McKeon","DAL","TE134","0.0","0.6","0.0","1.1","13.0","0.3","0.0","3.0"
"Khari Blasingame","CHI","RB146","2.8","9.0","0.1","2.6","8.2","0.1","0.0","2.7"
"Jaelon Darden","CLE","WR236","0.0","2.6","0.0","0.6","19.6","0.1","0.0","2.5"
"Keith Smith","ATL","RB147","2.7","8.3","0.1","2.7","7.6","0.1","0.0","2.5"
"Racey McMath","DAL","WR237","0.2","1.3","0.0","0.7","21.5","0.0","0.0","2.4"
"Lil'Jordan Humphrey","DEN","WR238","0.0","0.0","0.0","0.3","22.1","0.0","0.0","2.3"
"Laquon Treadwell","BAL","WR239","0.0","0.1","0.0","0.3","21.8","0.0","0.0","2.3"
"Ellis Merriweather","GB","RB148","0.0","10.2","0.1","0.5","3.7","0.0","0.0","2.0"
"Tyler Goodson","IND","RB149","0.0","10.2","0.1","0.5","2.6","0.0","0.0","1.9"
"Tyler Mabry","SEA","TE135","0.0","0.2","0.0","0.8","7.8","0.1","0.0","1.3"
"Nick Bawden","NYJ","RB150","0.0","1.1","0.0","2.9","4.6","0.1","0.0","1.2"
"Trey Sermon","IND","RB151","3.1","8.4","0.0","0.0","2.9","0.0","0.0","1.1"
"Jake Funk","BAL","RB152","0.0","3.4","0.0","0.3","3.6","0.0","0.0","1.0"
"Ben Mason","BAL","RB153","0.0","0.0","0.0","0.3","2.0","0.0","0.0","0.2"
"Juwann Winfree","IND","WR240","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darrynton Evans","MIA","RB154","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tony Jones Jr.","ARI","RB155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mohamed Ibrahim","DET","RB156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Scotty Washington","BAL","WR241","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"La'Mical Perine","KC","RB157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""